tarih,f_ticari_tl,f_tuketici,f_ihtiyac,f_konut,f_mevduat_tl,f_mevduat_3a,makas,marjinal,politika_h,kredi_marj,mevduat_marj,beta_ticari_tl,r2_ticari_tl,beta_mevduat_tl,r2_mevduat_tl
2013-01-04,12.62,11.99,13.9,9.9,7.23,7.92,5.389999999999999,5.56,,7.06,-1.6700000000000008,,,,
2013-01-11,12.02,12.02,14.18,9.78,7.19,7.77,4.829999999999999,5.593999999999999,,6.426,-1.596000000000001,,,,
2013-01-18,11.94,12.09,14.17,9.76,7.2,7.77,4.739999999999999,5.638,,6.302,-1.5620000000000003,,,,
2013-01-25,11.62,12.07,13.97,9.66,7.06,7.7,4.56,5.6339999999999995,,5.986,-1.4260000000000002,,,,
2013-02-01,11.74,11.91,13.9,9.54,7.04,7.63,4.7,5.606,,6.134,-1.4340000000000002,,,,
2013-02-08,12.68,11.9,13.82,9.6,6.88,7.5,5.8,5.566000000000001,,7.113999999999999,-1.3139999999999992,,,,
2013-02-15,10.78,11.86,13.66,9.61,6.85,7.39,3.9299999999999997,5.55,,5.2299999999999995,-1.2999999999999998,,,,
2013-02-22,11.85,11.87,13.64,9.56,6.7,7.27,5.1499999999999995,5.536,,6.314,-1.1640000000000006,,,,
2013-03-01,11.64,11.91,13.7,9.46,6.63,7.17,5.010000000000001,5.53,,6.11,-1.0999999999999996,,,,
2013-03-08,11.41,11.84,13.61,9.41,6.47,7.14,4.94,5.522,,5.888,-0.9479999999999995,,,,
2013-03-15,10.53,11.69,13.4,9.3,6.54,7.09,3.9899999999999993,5.532,,4.997999999999999,-1.008,,,,
2013-03-22,11.6,11.77,13.48,9.29,6.51,7.04,5.09,5.523999999999999,,6.0760000000000005,-0.9860000000000007,,,,
2013-03-29,10.11,11.43,13.43,9.07,6.59,7.15,3.5199999999999996,5.6240000000000006,,4.485999999999999,-0.9659999999999993,,,,
2013-04-05,12.11,11.53,13.5,9.09,6.53,7.11,5.579999999999999,5.604,,6.505999999999999,-0.9260000000000002,,,,
2013-04-12,10.85,11.55,13.53,9.09,6.5,7.01,4.35,5.626,,5.223999999999999,-0.8739999999999997,,,,
2013-04-19,10.92,11.58,13.33,9.06,6.34,6.95,4.58,5.614,,5.306,-0.726,,,,
2013-04-26,8.84,11.63,13.44,8.99,6.26,6.8,2.58,5.3525,,3.4875,-0.9074999999999998,,,,
2013-05-03,9.94,11.49,13.37,9.03,6.19,6.77,3.749999999999999,5.165,,4.7749999999999995,-1.0250000000000004,,,,
2013-05-10,10.12,11.29,13.1,8.99,6.16,6.75,3.959999999999999,5.078,,5.041999999999999,-1.0819999999999999,,,,
2013-05-17,9.39,10.9,12.71,8.79,6.03,6.61,3.3600000000000003,4.988,,4.402,-1.0419999999999998,,,,
2013-05-24,9.87,10.67,12.31,8.54,5.76,6.31,4.109999999999999,4.632,,5.2379999999999995,-1.1280000000000001,,,,
2013-05-31,8.09,10.35,11.87,8.48,5.59,6.15,2.5,4.5280000000000005,,3.5619999999999994,-1.0619999999999994,,,,
2013-06-07,8.95,10.05,11.81,8.31,5.74,6.32,3.209999999999999,4.68,,4.27,-1.0600000000000005,,,,
2013-06-14,9.0,9.97,11.81,8.29,5.92,6.58,3.08,4.872,,4.128,-1.048,,,,
2013-06-21,9.81,10.03,11.88,8.29,6.17,6.78,3.6400000000000006,5.148,,4.662000000000001,-1.0220000000000002,,,,
2013-06-28,9.27,9.93,11.78,8.3,6.72,7.52,2.55,5.328,,3.9419999999999993,-1.3919999999999995,,,,
2013-07-05,10.51,10.39,12.1,8.49,6.63,7.4,3.88,5.04,,5.47,-1.5899999999999999,,,,
2013-07-12,10.57,10.7,12.35,8.78,6.95,7.69,3.62,5.692,,4.878,-1.258,,,,
2013-07-19,10.75,11.13,12.6,9.04,7.05,7.84,3.7,4.976,,5.774,-2.074,,,,
2013-07-26,10.63,11.46,12.81,9.31,7.15,8.02,3.4800000000000004,5.093999999999999,,5.536000000000001,-2.056000000000001,,,,
2013-08-02,11.14,11.49,12.84,9.51,7.43,8.13,3.710000000000001,6.122,,5.018000000000001,-1.3079999999999998,,,,
2013-08-09,10.41,11.73,12.93,9.66,7.26,8.09,3.1500000000000004,6.386666666666667,,4.023333333333333,-0.8733333333333331,,,,
2013-08-16,10.46,11.86,13.03,9.77,7.75,8.47,2.710000000000001,6.348000000000001,,4.112,-1.4019999999999992,,,,
2013-08-23,11.17,12.04,13.32,9.92,7.6,8.41,3.5700000000000003,6.970000000000001,,4.199999999999999,-0.629999999999999,,,,
2013-08-30,11.61,12.01,13.47,10.03,7.77,8.66,3.84,6.86,,4.749999999999999,-0.9099999999999993,,,,
2013-09-06,11.63,12.52,13.76,10.43,7.91,8.66,3.7200000000000006,6.65,,4.98,-1.2599999999999998,,,,
2013-09-13,12.04,12.69,13.95,10.7,7.82,8.61,4.219999999999999,6.3420000000000005,,5.697999999999999,-1.4779999999999998,,,,
2013-09-20,11.29,12.92,14.05,10.91,8.08,8.94,3.209999999999999,6.276,,5.013999999999999,-1.8040000000000003,,,,
2013-09-27,10.34,12.85,14.0,10.89,8.14,8.87,2.1999999999999993,6.168,,4.172,-1.9720000000000004,,,,
2013-10-04,11.55,12.89,13.99,11.0,7.88,8.82,3.670000000000001,6.294,,5.256000000000001,-1.5860000000000003,,,,
2013-10-11,10.57,12.88,13.97,10.95,7.98,8.65,2.59,6.228,,4.3420000000000005,-1.7520000000000007,,,,
2013-10-18,10.84,12.83,13.44,10.85,7.41,7.97,3.4299999999999997,6.07,,4.77,-1.3399999999999999,,,,
